iter	RMSE
0	0.538463981
1	0.4705980584
2	0.4065849022
3	0.3569097014
4	0.3125433527
5	0.2757174533
6	0.2494825647
7	0.2301227717
8	0.2089562008
9	0.1916655025
10	0.1800200605
11	0.1680969913
12	0.1594430097
13	0.1504559415
14	0.1426817288
15	0.1371074028
16	0.1313787438
17	0.1261731623
18	0.1217282456
19	0.1180865099
20	0.1138678003
21	0.1112275541
22	0.1077128832
23	0.1054436845
24	0.1014035797
25	0.0986535579
26	0.09444506874
27	0.09217756771
28	0.08978883182
29	0.08533731902
30	0.08260553632
31	0.07922526886
32	0.07679319788
33	0.07417990992
34	0.07217722546
35	0.07058226794
36	0.06920024061
37	0.06793682653
38	0.06664409143
39	0.06523291812
40	0.06340628231
41	0.06317483297
42	0.0626045588
43	0.06213847298
44	0.06082449566
45	0.06000714621
46	0.05924534695
47	0.05842034283
48	0.05752411649
49	0.05683963886
50	0.05580679626
51	0.05505717081
52	0.0542784833
53	0.05340554946
54	0.05322247474
55	0.05302529325
56	0.05278645347
57	0.05183658998
58	0.05041439278
59	0.04891889043
60	0.04883632191
61	0.04768745863
62	0.04689015436
63	0.04631486392
64	0.04496516685
65	0.04489502927
66	0.04432319457
67	0.04421325541
68	0.04319914299
69	0.04235899653
70	0.04176429931
71	0.04097180575
72	0.0397781765
73	0.03925393915
74	0.0385449979
75	0.03791723169
76	0.03730653766
77	0.03601774187
78	0.03528797037
79	0.03481586603
80	0.03429014334
81	0.03419805702
82	0.03334627166
83	0.03260559687
84	0.03183863765
85	0.03125654442
86	0.03090717376
87	0.03049064985
88	0.03026603567
89	0.03021882591
90	0.02964644051
91	0.02958768914
92	0.02909706872
93	0.02865345288
94	0.02823656404
95	0.02786451406
96	0.0277270031
97	0.02741321749
98	0.02670244842
99	0.02626559776
